Index,content,comments,date
10,대만갈까 국내갈까 아직도 고민중인데 남편은 해외갈돈으로 호캉스하면서 국내 여행지 돌아보고싶다고 하더라구요~ 혹시 여기 진짜 좋았다!! 하는 국내 여행지 있을까요? 아기들은 친정에 맡기고 둘이 4박5일 여행할거에요~ 수도권 살아서 여수 통영 거제 부산 울산 코스도 괜찮을것같은데 어떤가요? 다 상관없이 추천 부탁드려요~^^,"['저는 거제도가 좋았어용', '저는 남해가서 너무 좋았어요 한적하고 자연도 너무 예쁘구요 관광보단 휴양이라면 추천드려요', '통영 그쪽도 생각하신다면 소매물도같은 섬 들어갔다오시는거 추천드려요', '비진도 소매물도 청산도 같은 섬이요', '제천 청풍호 진짜 멋있었고, 두부찌개도 정말 맛있었어요. 송어회도 진짜 별미인데 청풍황금송어인가 거기는 바로옆에 떡갈비집도 같이해서 아이데리고 가시면 아이는 떡갈비먹고 어른은 송어회먹고 하기에 딱좋아 보였어요.숙박은 제천포레스트 였나 하시면 진짜좋아요']",2024.07.01
11,이번 여름에 휴가계획하고있는데 아기데리고는 처음이라 걱정이 조금되는데 괜찮은 국내여행지 추천해주세요 서울거주하고있는데 2-4시간거리도 괜찮을까요?,"['저는 아기240인데 삼척 쏠비치2박3일로 갔다가 오늘 왔어요~!! 가는날 관광하고 둘째날은 오션플레이에서 놀고 오는날 관광한번더하고왔는데 넘재밌었어요!! 아기도 물놀이 엄청했어요!!!', '삼척!추천감사해용']",2024.06.20
12,12월에 아기랑 국내여행 가려고 계획중인데 혹시 추천 하실만한 곳 있을까요?!,"['부산좋아요~~~ㅎㅎ 부산에 새로생긴 모노레일타고 좋아요 ㅎㅎ', '경주 추천이요ㅎㅎ', '춘천도 좋더라고요 ㅎㅎ']",2023.11.15
13,10월에 32개월 아기랑 5개월 아기랑 가족여행 가고싶은데 수원에서 너무 멀지않은곳 (차로 2시간정도) 으로 추천해주세요 🙂 숙소도 추천해주시면 감사하겠습니다 🙂,[],2024.05.22
14,"요즘 날씨 정말 좋지 않나요? 매 주말마다 어디 안나가면 이 시간들을 누리지 못하는 것 같아서 아깝더라구요ㅜㅜ ​ 그래서, 애기랑 같이 국내여행을 갈까하는데 애기가 좋아할만한 국내 여행지 추천해주세요! 체험활동이 많은 여행지면 좋겠네요~~","['저희아이들 고 나이때\n제주,여수,공주 여행 좋았습니다\n유명관광지이지만\n지금까지도 사진보며 좋았었다\n이야기해요', '오옹!!! 바닷가 근처면 아이들도 좋아할 것 같네요~~~', '바다를 좋아해서 제주나 강원도 여행 좋았어요.']",2024.04.17
15,"곧 복직을 앞두고 있습니다 (ㅜㅜ) 평일에 좀 멀리 여행 다녀오고 싶은데 추천 부탁드려요! 숙소를 좀 괜찮은 곳으로 보고 있는데 아기랑 가기 좋은 풀빌라 있을까요? 출발지는 서울이고, 조금 멀리 (?) 차로 가려고요~!","['남해 풀빌라 좋은데 많아요 \n아님 부산 기장 아난티도 괜찮아요', '아주 아래는 힘들거같고 속초같은데 다녀올거같아요 롯데리조트 좋던데요']",2024.04.08
16,보통 아기랑 국내여행 언제쯤 가시나요? 150일 160일 되서 여행갈거같은데 괜찮을까요?,"['15개월에 제주도 처음 갔어요', '100일전부터 당일치기 다녔고 4갤부터 숙박하는 여행 다녔어요~', '10개월에 거제도 갔어요', '코시국이라 18갤에 첨갔어요', '10개월때.강릉으로 여름휴가 1박 갔어요', '100일때 부산2박3일갔어용~']",2024.04.20
17,1박2일정도 국내여행 아기 몇개월부터 다니셨나요? 5개월안됐을때 호텔 하루 갔다가 그냥 장소만 호텔이었고 힘들었는데 .. 좀 수월하려면 얼마나 커야 괜찮을까요?,"['음......어릴수록 편하더라고요. 저는..ㅠㅠ', '걷고 나서요!', '저도.. 50일쯤부터 다니기 시작했는데 걷기전이 편했어요.', '전 6갤부터 해외여행 다녔어요ㅎㅎ 분유먹고 못걸을때가 제일 편해요ㅎㅎ', '애데리고 호텔보다 리조트가 훨씬좋더라구요', '첫애는 8개월 제주도를 시작으로 달마다 다녔고..둘째는 3개월때부터 데꼬다녔어요 ㅎㅎ', '100일 지나서부터 데리고 다녔어요~ \n이유식먹기 시작하면 우유먹고 이유식먹고 손 더많이가고,  걷기 시작하면 더힘들어요...', '🔴🔴🔴🔴🔴🔴🔴\n쪽지 확인해 주세요\xa0\xa0\xa0\xa0\n등업 거절 사유\n쪽지로 보내드려요^^\n🔴🔴🔴🔴🔴🔴🔴']",2023.01.15
18,26개월 아기랑 5월말 여행 가려 하는데 국내여행 갈만한곳 추천좀 부탁드려요 매번 가는 곳만 가는 것 같아서 새로운 곳도 가보고싶네요 어디든 상관없어요!!,"['제천 리솜포레스트요~', '켄싱턴 평창 좋았어요.', '태안쪽도 좋더라구요 강원도도 좋구요']",2024.03.27
19,"1박 2일, 또는 2박 3일 ​ 친정엄마와 남편. 저. 아기 넷이서 다녀오려고 해요..~ ​ 다음달 아기가 4개월이 되거든요, ​ 그래서 여행지를 조금씩 보고있는데.. ​ 경기도 고양시에서 출발할거라 이동시간은 최대 2시간 보고있어요.. ​ 어디가 좋을까요~~... ​ 무조건 펜션이려나요 ~ㅠ",['숨키즈독채펜션 꼭 검색해보세요 추가비도없고가본곳중제일깨끗하고 정말좋앗어요 애기목튜브가져가셔서 거품수영시켜주셔도되요 입욕제도제공이고 뭐없는게없어서 몸만가도되요'],2024.02.05
20,한 6개월쯤되면 데리고 호텔 1박정도는 할수 있을까용ㅋㅋ 복직전에 여행가고픈데...아직은 낮잠도 넘많이자서 어려울것 같고 언제 도전해볼 수있을까요!,"['이유식 시작전 6개월 전이 최고 예요  \n그다음 초기이유식 할때 8개월 전 이여 ㅋㅋ\n그이상 되면 짐이 어마어마합니다 ㅋㅋㅋ', '저희아가 돌전에 외박 많이다녔었는데 잠자리 가릴수도 있어서 사용하던 침구류! 챙겨가면 좋아요 낮잠이불세트나 덮는 이불이나 베개, 인형?! 필수템이였어요', '4개월, 7개월, 8개월에 3-4시간 장거리 2박3일씩 세번 다녀왔는데ㅎㅎ 저는 오히려 클수록 짐이 줄었어요! 6개월이면 충분히 다녀올 수 있어요!ㅋㅋ', '저도 5개월 이유식 시작전에 제주도 일주일 갔다왔어요. 이유식 시작하면 짐이 두배니 시작전에 다녀오시는 걸 추천드려요.']",2024.05.22
21,아기 돌잔치하고 여행가려고하는데 하필 1월생이라..ㅎㅎㅎ 다 너무 추울거같은데 괜찮은곳 추천부탁드려요ㅎㅎ,"['제주도는 어떠세용 ㅎㅎ 겨울에 동백제주 이쁘더라그요', '맞아요ㅜㅜ제주도가 지금1순위네요 \n복직전에 부지런히다녀야겠어요\n감사해요', '저도 제주도에 한표~\n저희아기는 2월생인데 4월쯤 제주도 갈 예정이예요ㅎ', '아 조금지나서 가도되겠네요\n꼭겨울을 고집안해야겠어요ㅋㅋ', '감사해요', '네ㅎ따뜻할때ㅎㅎ가시는거 추천해요ㅎ', '제주도~~~', '제주도!!', '저는 서울에서 가까운 서해안 추천해요~ 얼마전에 보령 다녀왔는데 키즈호텔 좋았어요.', '혹시 키즈 호텔 이름이 뭘까요??', '제주도 추천해요!!']",2023.12.06
22,슬슬 여름휴가 계획 짜고 계시나요?? ​ 1박으로 애기 데리고 국내로 여행갈까하는데 가보고 괜찮은곳 있으셨나요?? 추천받습니다~,"['돌전아기라면 여행보다는 차라리 리조트나 풀빌라 빌려서 가는걸 추천들려요~ 더운데 애기 챙기면서 돌아디면 엄마도 애기도 너무 힘들더라구요ㅠ', '돌전이면 그냥 가까운 여수나..\n물놀이 시켜주고싶으시면 풀빌라로..마니들 가시더라구요', '돌전아기데리고 여행하기 힘들지 않을까요 저도 가까운 풀빌라나 수영장 있는ㄹ ㅣ조트 추천이요!', '돌전아기 데리고 어디 가실거면\n부모위주로 쉴 수 있는데를 가세요.\n애기 안고 이동 힘들어요.']",2024.07.02
23,30개월 남아 한 명이랑 남편이랑 셋이 국내여행 자주 다녀요 한달에 한번은 무조건 금토일 2박3일 여행다녀오는데.. 이번에 금토일 부산 다녀오고 오늘 월요일 아가 아침에 등원 시켜놓고 진짜 하루종일 자네요.. 시댁 편도 2시간 거리 주말에 다녀오거나 (1박 하고 와요) 2박3일 국내여행 다녀오면 월요일마다 하루종일 잠만 자는데.. 저만 이런가요? 나이 많지도 않은데 ㅜㅜ30대 초반.. 영양제라도 먹어야하나요?,"['아기가 자는게 아니라 엄마가 그르신거죠? 사실 저두 음청 피곤하더라구요 ㅜㅜ 영양제도 잘 챙겨드세요 !!', '네 저요.. 여행다녀오고 다음날 하루종일 잡니다']",2024.06.03
24,1박2일로 고민중이고 둘다 아기랑은 처음 고민해보는 내용인데욤! ​ 자주갈수없는 서울내 호텔에서 호캉스 하면서 보내는게 좋을까요 아님 가본적없는데 언젠가는 가야지 하고 저장해둔 국내여행지를 간다! 뭐가 좋을까요 ㅎㅎ,"['호캉스!! 한 번 가보세용 요즘같은 겨울엔 ㅎㅎ 이동하기도 힘들궁', '겨울이라ㅎㅎ 호캉스용', '호캉스에 한표!! ㅎㅎ 안에서 다 해결하는게 최곤거같아요~~', '1박2일이면 이동하다가 시간 다 가니 호캉스 한표 ㅋㅋㅋ']",2024.01.05
25,"12개월 아기 4일 정도 국내 여행 예정인데 이렇게 오래 멀리 가는 적이 처음이라서요 ​ 이유식을 다 챙겨 갈 수는 없어서 아기 김, 아기 치즈, 멸균 우유 , 맘마밀 약간 챙겨가려고 하는데 또 챙기면 좋을 것 있을까요?","['혹시 모르니 햇반도 많이들 가져가시더라고요 ㅋㅋ 정 맘마밀로 충분했어요', '아~ 햇반도 가져가보는게 좋겠네요~ 감사합니다^^', '아보카도 바나나 고구마도 배차고 좋아요', '아기가 집에서도 잘 먹는거네요!! 감사합니당 🙂', '동결건조 과일칩이나 요거트면 안무거워용 ㅎㅎ', '과일칩이랑 요거트도 있었네요~ 안 무겁고 좋겠어요! 감사합니다 😁', '맘마밀을 좀 더 여유있게 챙겨야겠어요~~ㅎㅎ 감사합니당 ^^']",2023.09.21
26,———(필독)메모인증 안하면 무통보삭제——— https://cafe.naver.com/lovehayden/4001403 ​ 아기랑 남편이랑 돌기념 여름휴가가려는데 여행지 혹시 추천해주실곳 있으신가요!!!,"['제주도 별로인가욤??!!!!', '제주도 좋을것같아요 감사해욤😆', '호캉스 겸 수영장도 가는걸루 신화월드나 파르나스 좋더라구요~~ 강추할게용 ㅋㅋㅋㅋ!', '혹시ㅜ비행기타거가셨나용ㅜㅜㅜ애기귀에안좋다해서ㅜㅠ걱정되네용ㅜㅠㅠ', '돌아기면 엄빠 위주로 가겠어요! 제주 호캉스나 부산, 강원도쪽 바다욤~!', '진짜호캉스ㅠㅠㅠㅠ너무가고시포요', '저흰 제주도가여', '혹시ㅜ비행기타시나요ㅠㅠ비행기태우기걱정되긴하네요ㅠㅠㅠㅠ헝', '네네 11갤에 가네요 제주도! 남편이 국내출장 잦아서 비행기 자주타는데 아가들 다 케바케같아요ㅋㅋㅋ 잘타고 조용히 가는 애기들이 더 많댓어요']",2024.06.13
27,"2월에 국내로 4박 5일 생각하고 있어요 사는 곳은 전라도권이라 제주도 가면 비행기보다는 배를 이용할 것 같아요 (렌트랑 카시크 짐 고려해서) 근데 그럼 왕복시간이 정말 길어진다는 단점이있어요 강원도는 지금 잘 못걷는 아기가 갈만한 곳을 떠올리니 다 실내만 생각이 나서 여행지를 잘 못고르겠네요 ㅠㅠ ​ 유모차를 끌고가기 원만했으면 좋겠고 아기와 부모가 엄청 지치지 않았으면 하는데 그렇다면 안가는게 사실 맞는데 ㅋㅋㅋㅋㅋ 남편이랑 일 쉬는 날이 진짜 하늘에 별따기입니다,,, 기약없는 날이라 그냥 쉴때 가는게 나을것 같아서 제가 각오는 하고 있습니다 ​ 괜찮은 장소 있으면 많이 많이 알려주셨으면 좋겠어요 😉","['배 ㅠㅠㅠㅠ오래걸리죠 ㅠㅠㅠ이렇게 오래걸릴줄 몰랐어요 그냥 차 렌트 카시트렌트 유모차때매 그냥 차 가지고 갈 생각이였는데 이동시간 편도만 7시간이상걸리게생겨서 ㅠㅠㅠㅠ조언 감사합니다! 참고할게용 ㅠㅠ', '그냥 강원도요 ㅎㅎㅎ', 'ㅎㅎㅎㅎㅎㅎㅎ감사합니다! 강원도로 가야겠네요 ,,', '감사합니다!!!!☺️', '강원도에 생각보다 좋은 곳이 진짜 많아요! 강원도 추천드립니다!!ㅎㅎ', '강원도요!', '강원도용']",2024.01.27
